state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.00819196410754238,2628483.328,3630,181,3416,0.003005464480874317,Rewa,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.00506906097161716,2644664.04,4765,202,4418,0.013205828779599272,Sagar,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.006496619917760485,2478224.328,3091,119,2931,0.0037340619307832425,Satna,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.004352246658558881,1457840.896,2568,90,2430,0.004371584699453552,Sehore,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.0034341192899870173,1533310.112,1438,40,1388,0.0009107468123861566,Seoni,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.003745398939999825,1184267.768,2864,69,2765,0.00273224043715847,Shahdol,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.005334494368191718,1681736.5359999996,1615,64,1529,0.0020036429872495446,Shajapur,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.0022723295647545266,765002.6240000002,1358,82,1262,0.0012750455373406193,Sheopur,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.003659507684780125,1919109.616,3416,68,3320,0.0025500910746812386,Shivpuri,0.48507751937984495
Madhya Pradesh,0.20123974006234108,0.2967320261437908,0.4337349397590362,0.026731086174217863,0.07658849400307885,0.07658849400307885,0.0023295882421020125,1252684.68,1882,97,1773,0.001092896174863388,Sidhi,0.48507751937984495
