state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP,state_population,ccp_district,cce_district,cluster
Assam,AS_Udalguri,926039.128,1676.0,552.5293126491647,758,84,666,8,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,20.04596684467227,53.055492772416,2
Assam,AS_West Karbi Anglong,333955.84,3035.0,110.03487314662273,39,1,37,1,0,31169272.0,2120.0,801.0,7.0,3.0,37002821.927999996,7.229141289831847,19.133307783325236,2
Bihar,BR_Araria,3120494.4,2829.0,1103.0379639448568,7106,63,7021,22,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,15.83958442793771,55.92508563379372,8
Bihar,BR_Arwal,779337.416,638.0,1221.532,2241,36,2194,11,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,3.955905448374723,13.967181523357171,2
Bihar,BR_Aurangabad,2792502.216,3303.0,845.4442070844686,4958,35,4908,15,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,14.174700847255213,50.04685333271508,8
Bihar,BR_Banka,2256624.9680000003,3018.0,747.7219907223326,3377,87,3271,19,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,11.454595689333152,40.44293256182643,2
Bihar,BR_Begusarai,3285256.104,1917.0,1713.7486197183096,7514,81,7401,32,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,16.675912453714293,58.87792298077623,8
Bihar,BR_Bhagalpur,3371835.312,2569.0,1312.5088797197352,9270,159,9036,75,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,17.115387260917913,60.429584032148746,8
Bihar,BR_Bhojpur,3024812.36,2473.0,1223.134799838253,4884,38,4804,42,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,15.353903777199381,54.2102848379275,8
Bihar,BR_Buxar,1898899.0159999998,1624.0,1169.2727931034485,3928,52,3859,17,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,9.638783932462701,34.031815625026155,2
Bihar,BR_Darbhanga,4361231.752,2278.0,1914.5003301141355,3984,40,3912,32,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,22.137549276039945,78.1614154473151,8
Bihar,BR_East Champaran,5652149.216,3969.0,1424.0738765432097,8237,84,8103,50,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,28.690227646662,101.29706655451139,8
Bihar,BR_Gaya,4869873.896000001,4978.0,978.2792077139412,7660,209,7392,59,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,24.71940944008807,87.27723230638604,8
Bihar,BR_Gopalganj,2844537.144,2033.0,1399.1820678799802,5675,63,5597,15,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,14.43882938895606,50.979416392065,8
Bihar,BR_Jamui,1952758.736,3099.0,630.1254391739271,3118,26,3082,10,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,9.912175091954957,34.99708236391605,2
Bihar,BR_Jehanabad,1250083.712,1569.0,796.7391408540473,4345,99,4228,18,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,6.3454068362416445,22.403834034443623,2
Bihar,BR_Kaimur,1809112.8,3363.0,537.9461195361284,1978,19,1949,10,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,9.1830303990492,32.42267900278634,2
Bihar,BR_Katihar,3411781.688,3056.0,1116.4207094240835,7095,106,6977,12,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,17.318154487560637,61.14549767024396,8
Bihar,BR_Khagaria,1843250.0880000002,1486.0,1240.4105572005385,3022,27,2983,12,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,9.356310779048224,33.0344829383119,2
Bihar,BR_Kishanganj,1880334.176,1884.0,998.0542335456475,4229,96,4120,13,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,9.544549073213746,33.699099031534544,2
Bihar,BR_Lakhisarai,1112797.304,1229.0,905.449393002441,3630,82,3539,9,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,5.648543015455969,19.943405288359045,2
Bihar,BR_Madhepura,2218015.216,1787.0,1241.1948606603246,4755,43,4696,16,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,11.258613146776517,39.750973721297974,2
Bihar,BR_Madhubani,4977360.928,3501.0,1421.6969231648102,7510,54,7425,31,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,25.265012059426994,89.20360059889838,8
Bihar,BR_Munger,1511268.0480000002,1419.0,1065.023289640592,4108,68,3991,49,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,7.671174747033875,27.084744968623017,2
Bihar,BR_Muzaffarpur,5313814.32,3173.0,1674.697232902616,11224,198,10981,45,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,26.97284460950304,95.23347354447404,8
Bihar,BR_Nalanda,3194245.5760000004,2354.0,1356.9437451146982,7966,130,7781,55,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,16.213944330301803,57.24684440169698,8
Bihar,BR_Nawada,2464918.136,2492.0,989.1324783306579,4060,141,3897,22,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,12.511888796572379,44.17593501724958,2
Bihar,BR_Patna,6419358.0479999995,3202.0,2004.7963922548406,46359,1926,44077,356,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,32.58456857812576,115.0468812084338,8
Bihar,BR_Purnia,3639717.224,3228.0,1127.54560842627,9180,92,9067,21,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,18.47515197058744,65.23052803267136,8
Bihar,BR_Rohtas,3294403.416,3850.0,855.689198961039,6622,71,6506,45,0,103804637.0,2069.0,586.0,2.0,4.0,115445561.51199998,16.722344077085477,59.04185988991443,8
