state,district,population,density,percent,num_senior_cit,pect_urban
Assam,AS_Kamrup Metropolitan,1401585.928,2235.384255183413,7.67,107501.64067760001,14.095371929683337
Assam,AS_Karbi Anglong,1073391.36,102.87438757906843,7.67,82329.117312,14.095371929683337
Assam,AS_Karimganj,1353306.2240000002,748.0963095632947,7.67,103798.5873808,14.095371929683337
Assam,AS_Kokrajhar,986342.8879999999,315.22623457973793,7.67,75652.49950959999,14.095371929683337
Assam,AS_Lakhimpur,1157196.128,508.2108599033817,7.67,88756.94301759999,14.095371929683337
Assam,AS_Majuli,186042.048,211.4114181818182,7.67,14269.4250816,14.095371929683337
Assam,AS_Morigaon,1065132.5359999998,625.077779342723,7.67,81695.66551119999,14.095371929683337
Assam,AS_Nagaon,3142518.6720000007,820.2867846515271,7.67,241031.18214240007,14.095371929683337
Assam,AS_Nalbari,856149.928,848.5133082259662,7.67,65666.6994776,14.095371929683337
Assam,AS_Sivasagar,1279081.336,479.4157931034482,7.67,98105.53847119998,14.095371929683337
Assam,AS_South Salmara,617286.7679999999,1086.7724788732396,7.67,47345.89510559999,14.095371929683337
Assam,AS_Sonitpur,2141684.2,402.2697595792637,7.67,164267.17814,14.095371929683337
Assam,AS_Tinsukia,1464446.176,386.39740791556727,7.67,112323.02169919999,14.095371929683337
Assam,AS_Udalguri,926039.128,552.5293126491647,7.67,71027.2011176,14.095371929683337
Assam,AS_West Karbi Anglong,333955.84,110.03487314662273,7.67,25614.412928000005,14.095371929683337
Bihar,BR_Araria,3120494.4,1103.0379639448568,8.58,267738.41952,11.294983570134452
Bihar,BR_Arwal,779337.416,1221.532,8.58,66867.1502928,11.294983570134452
Bihar,BR_Aurangabad,2792502.216,845.4442070844686,8.58,239596.69013280002,11.294983570134452
Bihar,BR_Banka,2256624.9680000003,747.7219907223326,8.58,193618.42225440004,11.294983570134452
Bihar,BR_Begusarai,3285256.104,1713.7486197183096,8.58,281874.97372320003,11.294983570134452
Bihar,BR_Bhagalpur,3371835.312,1312.5088797197352,8.58,289303.4697696,11.294983570134452
Bihar,BR_Bhojpur,3024812.36,1223.134799838253,8.58,259528.90048799998,11.294983570134452
Bihar,BR_Buxar,1898899.0159999998,1169.2727931034485,8.58,162925.5355728,11.294983570134452
Bihar,BR_Darbhanga,4361231.752,1914.5003301141355,8.58,374193.68432160007,11.294983570134452
Bihar,BR_East Champaran,5652149.216,1424.0738765432097,8.58,484954.40273280005,11.294983570134452
Bihar,BR_Gaya,4869873.896000001,978.2792077139412,8.58,417835.1802768001,11.294983570134452
Bihar,BR_Gopalganj,2844537.144,1399.1820678799802,8.58,244061.2869552,11.294983570134452
Bihar,BR_Jamui,1952758.736,630.1254391739271,8.58,167546.6995488,11.294983570134452
Bihar,BR_Jehanabad,1250083.712,796.7391408540473,8.58,107257.18248960002,11.294983570134452
Bihar,BR_Kaimur,1809112.8,537.9461195361284,8.58,155221.87824000002,11.294983570134452
Bihar,BR_Katihar,3411781.688,1116.4207094240835,8.58,292730.8688304,11.294983570134452
Bihar,BR_Khagaria,1843250.0880000002,1240.4105572005385,8.58,158150.85755040002,11.294983570134452
Bihar,BR_Kishanganj,1880334.176,998.0542335456475,8.58,161332.67230079998,11.294983570134452
Bihar,BR_Lakhisarai,1112797.304,905.449393002441,8.58,95478.0086832,11.294983570134452
Bihar,BR_Madhepura,2218015.216,1241.1948606603246,8.58,190305.7055328,11.294983570134452
Bihar,BR_Madhubani,4977360.928,1421.6969231648102,8.58,427057.5676224,11.294983570134452
Bihar,BR_Munger,1511268.0480000002,1065.023289640592,8.58,129666.79851840003,11.294983570134452
Bihar,BR_Muzaffarpur,5313814.32,1674.697232902616,8.58,455925.26865600003,11.294983570134452
Bihar,BR_Nalanda,3194245.5760000004,1356.9437451146982,8.58,274066.2704208,11.294983570134452
