state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP
Chhattisgarh,Mahasamund,1147889.8,4779.0,240.1945595312827,7338,530,6701,107,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Mungeli,780298.184,2750.0,283.7447941818182,3746,36,3687,23,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Narayanpur,155909.072,6640.0,23.480281927710838,1902,40,1860,2,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Raigarh,1660913.2240000002,7068.0,234.99055234861342,20363,548,19550,265,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Raipur,4517121.92,13083.0,345.2665229687381,50615,7029,42889,697,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Rajnandgaon,1709722.24,8062.0,212.07172413793103,17341,1278,15902,161,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Sukma,276888.0,5636.0,49.12845990063875,3687,50,3627,10,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Surajpur,734231.36,6787.0,108.18201856490349,5143,440,4673,30,0,25540196.0,1340.0,513.0,5.0,3.0
Chhattisgarh,Surguja,467775.032,3265.0,143.26953506891272,6866,560,6232,74,0,25540196.0,1340.0,513.0,5.0,3.0
Goa,North Goa,909350.2320000001,1736.0,523.8192580645161,2668,1639,964,65,0,1457723.0,105.0,37.0,7.0,3.0
Goa,South Goa,711637.7440000001,1966.0,361.97240284842314,3511,1978,1407,126,0,1457723.0,105.0,37.0,7.0,3.0
Gujarat,Ahmedabad,8015518.4,8707.0,920.5832548524176,55370,2999,50166,2205,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Amreli,1683138.7680000002,6760.0,248.985024852071,3668,217,3419,32,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Anand,2324386.912,2942.0,790.0703303874915,2131,65,2049,17,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Aravalli,1169541.5520000001,3217.0,363.5503736400372,1102,73,1004,25,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Banaskantha,3465042.04,12703.0,272.7735212154609,4409,-36,4409,36,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Bharuch,1724514.064,6524.0,264.3338540772532,3682,139,3525,18,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Bhavnagar,3200292.6319999998,11155.0,286.89310909905873,5620,109,5443,68,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Botad,729477.56,2564.0,284.50762870514825,1000,68,922,10,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Chhota Udepur,1191876.072,3237.0,368.2039147358665,844,28,813,3,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Dahod,2364732.496,3642.0,649.2950291048874,2758,155,2596,7,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Dang,252167.128,1764.0,142.9518866213152,144,8,136,0,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Devbhoomi Dwarka,836762.208,5684.0,147.21361857846588,1009,57,947,5,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Gandhinagar,1542875.5359999998,649.0,2377.3120739599385,7742,506,7133,103,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Gir Somnath,1353834.424,3754.0,360.6378327117741,2245,149,2072,24,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Jamnagar,2400952.56,14125.0,169.97894230088497,9960,384,9541,35,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Junagadh,3049427.5919999997,8839.0,344.9968991967417,4695,248,4414,33,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Kheda,2556414.608,4215.0,606.5040588374853,2723,103,2604,16,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Kutch,2324428.056,45652.0,50.916237098046075,3727,252,3442,33,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Mahisagar,1106021.888,2500.0,442.4087552,1857,97,1753,7,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Mehsana,2254832.424,4386.0,514.0976798905609,6401,368,5996,37,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Morbi,1067885.848,4871.0,219.2333910901252,2959,263,2678,18,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Narmada,656501.448,2749.0,238.8146409603492,1876,136,1739,1,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Navsari,1479750.632,2211.0,669.2675857078244,1540,19,1513,8,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Panchmahal,2655752.904,5219.0,508.8624073577314,3843,181,3641,21,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Patan,1493133.552,5738.0,260.21846497037296,4059,154,3853,52,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Porbandar,651700.944,2294.0,284.0893391455972,677,8,665,4,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Rajkot,3511335.712,11203.0,313.4281631705793,18988,1483,17317,188,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Sabarkantha,2699208.752,7390.0,365.25152259810545,2661,179,2469,13,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Surat,6762430.063999999,4418.0,1530.6541566319602,47546,1123,45476,947,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Surendranagar,1952530.7759999998,10489.0,186.15032662789588,3321,305,3004,12,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Tapi,896815.7679999999,3435.0,261.08173740902475,1012,18,988,6,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Vadodara,4047429.8,7794.0,519.3007185014113,23223,2156,20836,231,0,60383628.0,3402.0,1585.0,6.0,2.0
Gujarat,Valsad,1893811.616,3034.0,624.1963137771918,1335,13,1313,9,0,60383628.0,3402.0,1585.0,6.0,2.0
Haryana,Ambala,1264103.808,1569.0,805.6748298279158,11222,283,10799,140,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Bhiwani,1811569.208,5140.0,352.4453712062257,6126,64,5928,134,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Charkhi Dadri,558530.912,1370.0,407.68679708029197,1449,80,1346,23,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Faridabad,2000436.8480000002,783.0,2554.836332056194,44832,717,43722,393,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Fatehabad,1046972.464,2538.0,412.5187013396375,4594,119,4362,113,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Gurgaon,1683662.52,1258.0,1338.3644833068365,55652,1586,53727,339,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Hissar,1938010.28,3788.0,511.61834213305167,16719,183,16227,309,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Jhajjar,1064080.584,1868.0,569.6362869379016,5659,111,5469,79,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Jind,1481230.7040000001,2702.0,548.1978919319023,4552,252,4212,88,0,25353081.0,1696.0,586.0,7.0,3.0
Haryana,Kaithal,1193021.432,2799.0,426.23130832440165,3694,83,3563,48,0,25353081.0,1696.0,586.0,7.0,3.0
