state,District_Key,confirmed,active,recovered,deceased,migrated_other,covid_index,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,dist_index,district,cluster
Tripura,TR_Unokoti,0.007236268245907344,0.0008314405486811052,0.007372092308861281,0.0020136029143898,1e-05,0.003817194104216524,0.010267020701542971,0.014161155781810776,0.01375311256859299,0.019691748361131963,0.02172095327227707,0.024455316255936832,0.024455316255936832,0.017543731830352304,Unokoti,4
Tripura,TR_West Tripura,0.030168288946623444,0.001809345963777659,0.0304705551665934,0.01722277049180328,0.012996753246753248,0.022794330800839518,0.021341620480307147,0.04766925129559961,0.045797394760984884,0.06589603823851174,0.0736012872005182,0.08658769808338107,0.08658769808338107,0.05584635079245652,West Tripura,0
Uttar Pradesh,UP_Agra,0.026256894657111687,0.004195435176613251,0.02600119798535693,0.015401313296903462,1e-05,0.0201094669451472,0.023850648380009654,0.1947548486912952,0.17322469215194847,0.30784125021936554,0.4565713412731071,0.061470483393362176,0.061470483393362176,0.12305791978037127,Agra,0
Uttar Pradesh,UP_Aligarh,0.028841816100615113,0.0039216216603862155,0.0290513239548225,0.0049279344262295076,1e-05,0.01192185298001958,0.021495549812287688,0.16326935075914714,0.14525007516613406,0.2581115369496975,0.38277119277344895,0.05115371399648395,0.05115371399648395,0.10402180143450288,Aligarh,0
Uttar Pradesh,UP_Allahabad,0.07260757106713868,0.00978905415096554,0.07234194636664115,0.03452661384335155,1e-05,0.05006888822750912,0.023839697969944063,0.2650797381625281,0.2357078026864261,0.4189157708339717,0.6214087307717127,0.08451365295349378,0.08451365295349378,0.1607157486588569,Allahabad,1
Uttar Pradesh,UP_Ambedkar Nagar,0.004829256375438569,0.0013660288422672213,0.00471544344399759,0.003652914389799636,1e-05,0.004200102392307976,0.02217070086876436,0.10647783992773872,0.0947912649869808,0.16841228696853286,0.24965524390358976,0.032544990634046075,0.032544990634046075,0.07193282323555973,Ambedkar Nagar,2
Uttar Pradesh,UP_Amethi,0.00912524930077523,0.001822384702645613,0.009089823393088777,0.0031975500910746816,1e-05,0.005401707297954325,0.018249896074938054,0.113213063524356,0.10077545811726657,0.17905022380499913,0.26544221042004545,0.03475190344299883,0.03475190344299883,0.07382474688794385,Amethi,2
Uttar Pradesh,UP_Amroha,0.010933124520877321,0.0014573000143428994,0.011002936212015129,0.004472570127504553,1e-05,0.0069927938717199035,0.017366799371556062,0.08153961746438787,0.07263385069984782,0.12902365620175166,0.19120152260373927,0.024373549582775832,0.024373549582775832,0.05492202479609402,Amroha,2
Uttar Pradesh,UP_Auraiya,0.00895780499674262,0.0019527720913251536,0.008859164400735952,0.004199351548269581,1e-05,0.00613326766757885,0.014665764416620859,0.06076359982030275,0.05417452262009805,0.09620901237580816,0.14250376369678994,0.017565927118573098,0.017565927118573098,0.041279317219364425,Auraiya,2
Uttar Pradesh,UP_Azamgarh,0.015459353364258818,0.002383050473967637,0.01538545706671877,0.008479775956284153,1e-05,0.011449535054225671,0.024973166422542496,0.20525304321670898,0.1825522553216312,0.3244226047440139,0.4811784895107967,0.0649103988819363,0.0649103988819363,0.1296409863473142,Azamgarh,0
Uttar Pradesh,UP_Bahraich,0.010480501636539172,0.0014573000143428994,0.010465636441593259,0.0067493916211293255,1e-05,0.008410529705725417,0.010606639199162571,0.10583338272168252,0.0942186698340624,0.16739440018964782,0.2481446742562201,0.032333823054757155,0.032333823054757155,0.06439780475162142,Bahraich,2
Uttar Pradesh,UP_Ballia,0.019946337448882683,0.003347917150196237,0.019819536990301274,0.009117285974499088,1e-05,0.013485416666359405,0.02370898310264746,0.14321826953130087,0.1274348473838309,0.2264418926468992,0.3357726420316852,0.044583629520400486,0.044583629520400486,0.09411315963324524,Ballia,0
Uttar Pradesh,UP_Balrampur,0.005342054556538438,0.0016919973139660725,0.0051984705103364426,0.0030154043715847,1e-05,0.004013533936947584,0.014065284783938271,0.0953593720430474,0.0849125938218112,0.1508512427984434,0.22359421152775788,0.028901831822959387,0.028901831822959387,0.061181567709546573,Balrampur,2
Uttar Pradesh,UP_Banda,0.009439207370836377,0.002031004524532878,0.009366614183912164,0.003379695810564663,1e-05,0.005648154531018675,0.008934713072799387,0.07979241247519755,0.07108147282500414,0.12626403641352366,0.1871061772501588,0.023801047569264808,0.023801047569264808,0.0489997743971353,Banda,2
Uttar Pradesh,UP_Barabanki,0.019865231614116883,0.0016789585750981186,0.02009090051071636,0.008844067395264117,1e-05,0.013254789595379516,0.01867241762269102,0.14474773082454034,0.12879376169940587,0.2288575975448737,0.33935760901581224,0.04508478403597483,0.04508478403597483,0.09180275667224766,Barabanki,0
Uttar Pradesh,UP_Bareilly,0.03593465216674647,0.005082069419634126,0.03588425739887437,0.014399511839708563,1e-05,0.022747339390154504,0.023762174238922438,0.19852053640582565,0.17657047603407713,0.31378895892990505,0.4653978909797238,0.06270437627494181,0.06270437627494181,0.1250533567949035,Bareilly,0
Uttar Pradesh,UP_Basti,0.013007864100531384,0.001300835147927451,0.013057158061557331,0.008844067395264117,1e-05,0.010725783270863544,0.020079450523368358,0.10925461763513224,0.09725841011476256,0.17279806354096858,0.2561638469308566,0.033454850002803946,0.033454850002803946,0.07254121251689535,Basti,2
Uttar Pradesh,UP_Bhadohi,0.005690024750856207,0.0016528810973622104,0.005602802155754921,0.001831457194899818,1e-05,0.003228163064207514,0.03549931107938891,0.06886567840336537,0.06137315564278643,0.10900582587046252,0.16149455761322995,0.02022071366687466,0.02022071366687466,0.052366963922271366,Bhadohi,2
Uttar Pradesh,UP_Bijnor,0.010977601914135984,0.0022005081298162804,0.01086996808701174,0.005292225865209471,1e-05,0.007622069849323309,0.01770593742912448,0.16371681873076066,0.14564764693540644,0.25881828943535456,0.3838200312839619,0.05130033463705865,0.05130033463705865,0.10142044859245346,Bijnor,0
Uttar Pradesh,UP_Budaun,0.009873516034420958,0.001783268486041751,0.009846927615046866,0.00410827868852459,1e-05,0.006368921062865942,0.015747648292441664,0.1650013684707103,0.1467889592643955,0.2608471692195012,0.38683094004480734,0.05172123963511331,0.05172123963511331,0.1004167069633128,Budaun,0
Uttar Pradesh,UP_Bulandshahr,0.01552999393002258,0.003973776615858031,0.015138516263141041,0.00811548451730419,1e-05,0.01122646094247543,0.020623375513298986,0.15546006151075026,0.1383115831617792,0.24577716904484204,0.3644666797735127,0.0485948649510328,0.0485948649510328,0.09909027592645876,Bulandshahr,0
Uttar Pradesh,UP_Chandauli,0.01196395351757808,0.002383050473967637,0.011863158571730956,0.005019007285974499,1e-05,0.007749010896481215,0.01676009891449686,0.08661430599047314,0.07714267149555112,0.13703886389765482,0.2030962929396471,0.026036359280034883,0.026036359280034883,0.057636195479399,Chandauli,2
Uttar Pradesh,UP_Chitrakoot,0.005501649908819521,0.001000944153964508,0.005562097627692658,0.0011939471766848815,1e-05,0.0025629434983517885,0.0067764235288174796,0.043765384082872984,0.03907174178678891,0.06936121099944062,0.10266094944767268,0.011996166961075562,0.011996166961075562,0.027493416732517758,Chitrakoot,4
Uttar Pradesh,UP_Deoria,0.017432056571143013,0.0020179657856649238,0.017515660701977194,0.00820655737704918,1e-05,0.011960651004483508,0.02680032416943614,0.13765086296301798,0.12248825048745475,0.21764846232246784,0.3227229696910192,0.04275937221224488,0.04275937221224488,0.0925203703671601,Deoria,0
Uttar Pradesh,UP_Etah,0.00647230360875856,0.001770229747173797,0.006373474553733765,0.0023778943533697638,1e-05,0.003923066938577739,0.015718529773732743,0.07808266349915809,0.06956237432290435,0.12356357645812507,0.18309862658029905,0.02324081866799858,0.02324081866799858,0.052109517092942745,Etah,2
Uttar Pradesh,UP_Etawah,0.014747715072120228,0.0026829414679305805,0.01456051196465691,0.009299431693989071,1e-05,0.011710908118314102,0.015135394248687716,0.06997720006829586,0.06236073388959941,0.11076141677168114,0.1640998987804312,0.020584923015617818,0.020584923015617818,0.04702740071888705,Etawah,2
Uttar Pradesh,UP_Faizabad,0.020205352856683127,0.0024873603849112696,0.020240150446944657,0.010028014571949,1e-05,0.014234450213414976,0.01957078219344861,0.10958040923584414,0.09754787338660766,0.1733126345007159,0.25692748321078124,0.03356160127042651,0.03356160127042651,0.0724646892959413,Faizabad,0
Uttar Pradesh,UP_Farrukhabad,0.011872382413810246,0.001900617135853337,0.011800744962035484,0.00729582877959927,1e-05,0.00930692587791936,0.018156725340971392,0.08371331327632828,0.07456516231237957,0.13245689615546713,0.19629653726922094,0.025085798710265467,0.025085798710265467,0.05657200693606757,Farrukhabad,2
Uttar Pradesh,UP_Fatehpur,0.009682524875133762,0.0022396243464201425,0.009499582308915556,0.005929735883424408,1e-05,0.007577256442422291,0.013897988081105754,0.11689849471605902,0.10404993471082866,0.18487117149442256,0.2740806435748614,0.035959498883121783,0.035959498883121783,0.07302683826655974,Fatehpur,2
Uttar Pradesh,UP_Firozabad,0.00986043444816841,0.0013921063200031294,0.009852354885455166,0.006202954462659381,1e-05,0.007820730519844455,0.023184904854425557,0.11084482803888042,0.09867129953666656,0.1753097185126403,0.2598912062438719,0.03397591001790491,0.03397591001790491,0.07499068816202922,Firozabad,2
Uttar Pradesh,UP_Gautam Buddh Nagar,0.06403128311996839,0.009306620812851241,0.06433943614960028,0.007933338797814207,1e-05,0.022538452978176457,0.028935914444990062,0.07423293357676114,0.06614191960086155,0.11748312743302045,0.17407508689962636,0.021979387899610483,0.021979387899610483,0.054365325303438725,Gautam Buddh Nagar,0
Uttar Pradesh,UP_Ghaziabad,0.06640689918343105,0.01263149922417952,0.06608158995066513,0.008935140255009107,1e-05,0.02435887842459513,0.08700267857327391,0.20725469077799327,0.184330703418218,0.3275841033966352,0.4858702332331002,0.0655662734165584,0.0655662734165584,0.15625506797577773,Ghaziabad,0
Uttar Pradesh,UP_Ghazipur,0.013143912597557879,0.001796307224909705,0.013146708023294313,0.007113683060109291,1e-05,0.009669624004520785,0.02351967436085437,0.1609925061642609,0.1432271166721815,0.2545153788356573,0.3774344034498257,0.05040766638152832,0.05040766638152832,0.10408821452128514,Ghazipur,0
Uttar Pradesh,UP_Gonda,0.013028794638535459,0.0016268036196263025,0.013095148954415443,0.0060208087431693974,1e-05,0.00885685501025352,0.01699881552068638,0.1524706619165763,0.13565552516184587,0.241055567214466,0.3574597035951371,0.04761533633393178,0.04761533633393178,0.09477574357794463,Gonda,0
Uttar Pradesh,UP_Gorakhpur,0.054057881761026036,0.004899527075482768,0.05424471319015908,0.03033726229508197,1e-05,0.0404965200739616,0.029254082192693338,0.19722587665994815,0.17542018104443066,0.3117441109150185,0.4623632849617979,0.062280158558124285,0.062280158558124285,0.12809439741551892,Gorakhpur,1
Uttar Pradesh,UP_Hamirpur,0.004049593834786727,0.0009618279373606457,0.004042461913368178,0.0019225300546448086,1e-05,0.002790244766410611,0.005589587801017302,0.048815710612295296,0.04355891714029134,0.07733794018338447,0.11449861670154104,0.013650994027659348,0.013650994027659348,0.029536739478543968,Hamirpur,4
Uttar Pradesh,UP_Hapur,0.01105085879715025,0.003478304538875777,0.010658304541087972,0.0060208087431693974,1e-05,0.00815690549567743,0.04446174460306479,0.05924594095689083,0.05282609467048874,0.0938119488044684,0.13894646091145707,0.0170686398738012,0.0170686398738012,0.04728396304401982,Hapur,2
Uttar Pradesh,UP_Hardoi,0.015053824190429844,0.002044043263400832,0.01500554813813765,0.009481577413479051,1e-05,0.011947133523589004,0.014981807041297382,0.18186512558304785,0.1617722746680805,0.2874826001614904,0.426358591214076,0.057246942092412274,0.057246942092412274,0.1085035947742764,Hardoi,0
Uttar Pradesh,UP_Hathras,0.003345804494399661,0.0005967432490579322,0.003426466722025932,0.0006475100182149362,1e-05,0.0014718838028568494,0.01959121819888629,0.06937674588363454,0.06182723507469647,0.10981303048606067,0.1626924696176229,0.020388173789358446,0.020388173789358446,0.04842095053107612,Hathras,2
Uttar Pradesh,UP_Jalaun,0.009952005551936243,0.001796307224909705,0.009925623035967241,0.00410827868852459,1e-05,0.006394185821283119,0.008017974440671637,0.07405496184245564,0.06598379311633758,0.11720203029629447,0.17365793166044954,0.02192107237460435,0.02192107237460435,0.0451619597957771,Jalaun,2
Uttar Pradesh,UP_Jaunpur,0.016942805245297732,0.0030480261562332942,0.01677755192644816,0.008752994535519127,1e-05,0.012177860309941802,0.024303169660685082,0.19899833439522235,0.1769949957853216,0.3145436161077817,0.4665178212614777,0.06286093507180507,0.06286093507180507,0.12571807824436268,Jaunpur,0
Uttar Pradesh,UP_Jhansi,0.026029275056317355,0.003778195532838721,0.025830238967495426,0.016129896174863392,1e-05,0.020490229480544145,0.008725422760555403,0.08875397517453333,0.07904375071714785,0.14041836055495913,0.20811155119803892,0.026737458992833658,0.026737458992833658,0.05364671931473674,Jhansi,0
Uttar Pradesh,UP_Kannauj,0.008942107093239563,0.0011052540649081405,0.009019268877780855,0.004199351548269581,1e-05,0.006127891257748293,0.01823713732364049,0.07348875697302977,0.06548072454833127,0.11630773903022915,0.17233078087074608,0.02173554553040947,0.02173554553040947,0.05044295441196511,Kannauj,2
Uttar Pradesh,UP_Kanpur Dehat,0.005431009343055761,0.001248680192455635,0.005380284069014551,0.0031064772313296905,1e-05,0.004107469642899573,0.013023492373640184,0.07959426526650756,0.0709054205903577,0.12595107315994666,0.1866417318900243,0.023736121200207703,0.023736121200207703,0.051596111452108205,Kanpur Dehat,2
Uttar Pradesh,UP_Kanpur Nagar,0.08313039904868802,0.008915458646812617,0.08227656484903745,0.07350579781420764,1e-05,0.07817011132579549,0.031770928991069626,0.20331308005282547,0.18082861332641226,0.3213585334022949,0.4766313303746442,0.06427473630981004,0.06427473630981004,0.13307675498774607,Kanpur Nagar,1
Uttar Pradesh,UP_Kasganj,0.0050516433417318795,0.0013921063200031294,0.005032938762883241,0.0005564371584699454,1e-05,0.0016765804682975722,0.016125345044023204,0.0636972385007253,0.05678103748724255,0.10084254273091367,0.14938003958501292,0.018527184705316842,0.018527184705316842,0.04364279889885137,Kasganj,4
Uttar Pradesh,UP_Kaushambi,0.00584177115138576,0.0006488982045297487,0.005952861097090382,0.0023778943533697638,1e-05,0.0037270785656541476,0.0190571722309559,0.07076769564191654,0.06306308298214597,0.11200996358843517,0.16595277374042872,0.020843942598534147,0.020843942598534147,0.0490886822938329,Kaushambi,2
Uttar Pradesh,UP_Kushinagar,0.014661376602853413,0.0013529901033992671,0.014861725472317653,0.005474371584699453,1e-05,0.008958896330867891,0.026838302026310618,0.15823577031883865,0.14077777858094526,0.2501612573461863,0.3709727773639076,0.04950437407639724,0.04950437407639724,0.10448724847409507,Kushinagar,0
Uttar Pradesh,UP_Lakhimpur Kheri,0.019430922950532302,0.0023960892128355913,0.01952375075304883,0.007751193078324226,1e-05,0.012272442115553749,0.0114621519504767,0.17840251535899512,0.158695772749712,0.2820135866500049,0.4182424372538551,0.056112357806344784,0.056112357806344784,0.1027018429193316,Lakhimpur Kheri,0
Uttar Pradesh,UP_Lalitpur,0.008471169988147845,0.0014573000143428994,0.008457546390521625,0.004199351548269581,1e-05,0.005964345798608886,0.005292399088445774,0.0538921360997514,0.04806928121249523,0.08535589131981118,0.12639745837236574,0.015314372870432715,0.015314372870432715,0.032043882234333715,Lalitpur,2
Uttar Pradesh,UP_Lucknow,0.19957221459986554,0.03795273010574629,0.1962709525050068,0.09818654280510017,1e-05,0.1399832339657801,0.03980016234949136,0.2040035890039447,0.18144212509219285,0.3224491565273698,0.4782498425939129,0.06450099354196592,0.06450099354196592,0.13783468674949284,Lucknow,1
Uttar Pradesh,UP_Maharajganj,0.015030277335175255,0.0007401693766054269,0.015290479834573491,0.00820655737704918,1e-05,0.011106161953801931,0.01978683970504392,0.11835077257197332,0.10534027215010733,0.1871649691506688,0.2774846971381943,0.03643536290699553,0.03643536290699553,0.0776413557583782,Maharajganj,2
Uttar Pradesh,UP_Mahoba,0.003714705226721506,0.0010530991094363242,0.0037032575128493205,0.0010118014571949,1e-05,0.0019386965109181816,0.006739891375048694,0.038662681487498934,0.03453803071111426,0.061301756532015875,0.09070051578707962,0.010324177968213707,0.010324177968213707,0.02452316854052355,Mahoba,4
Uttar Pradesh,UP_Mainpuri,0.0096380474818751,0.0019788495690610613,0.009494155038507255,0.006385100182149364,1e-05,0.007844737008471662,0.014669959665688459,0.0819147565830203,0.07296715885278712,0.12961616901022086,0.1920808265525848,0.024496470420395083,0.024496470420395083,0.05383173647666846,Mainpuri,2
Uttar Pradesh,UP_Mathura,0.017097167963077798,0.003947699138122124,0.01671513831675269,0.009936941712204007,1e-05,0.013034322440881449,0.016717855993548414,0.11285493771966368,0.1004572661597948,0.17848458264473552,0.26460278467474496,0.034634557312725016,0.034634557312725016,0.07270373127382716,Mathura,0
Uttar Pradesh,UP_Mau,0.007913894413789316,0.0011965252369838188,0.007955523877753716,0.003470768670309654,1e-05,0.0052409251846900606,0.02822535805772192,0.09785810231869188,0.08713269599591851,0.1547978578532164,0.2294510877887131,0.029720584129001245,0.029720584129001245,0.06913730555720198,Mau,2
Uttar Pradesh,UP_Meerut,0.05524045715825635,0.02068943984457513,0.051940836901835,0.03853381967213115,1e-05,0.046137033007577946,0.029971613511834132,0.15318410766528492,0.1362894160916731,0.2421824178233781,0.3591319783139493,0.04784910920557167,0.04784910920557167,0.1031922769832141,Meerut,1
Uttar Pradesh,UP_Mirzapur,0.008698789588942176,0.00255255407925104,0.008476541836950681,0.0038350601092896172,1e-05,0.005775844609375842,0.0120900130037475,0.11074559855338678,0.09858313492017023,0.17515299067965098,0.2596586181875942,0.03394339575621483,0.03394339575621483,0.06827623027813251,Mirzapur,2
Uttar Pradesh,UP_Moradabad,0.02967642130352765,0.0034131108445360075,0.02969445549820625,0.015947750455373406,1e-05,0.021754819267398803,0.02814809244592497,0.2122289027693956,0.1887502516040399,0.3354406136099423,0.4975294925030463,0.06719616023483503,0.06719616023483503,0.13575382047551854,Moradabad,0
Uttar Pradesh,UP_Muzaffarnagar,0.020652743106520256,0.006503291956241117,0.01989823241122165,0.0090262131147541,1e-05,0.013653426701151637,0.02263843952047189,0.18396840765326236,0.16364102422554913,0.29080462525705675,0.4312885602256192,0.057936118936359686,0.057936118936359686,0.1162499709925015,Muzaffarnagar,0
Uttar Pradesh,UP_Pilibhit,0.010715970189085029,0.0016528810973622104,0.010661018176292123,0.0070226102003642975,1e-05,0.008674911040274031,0.012760870186731036,0.09037825674363276,0.0804869121011792,0.14298382916767075,0.2119187713113471,0.027269683016100214,0.027269683016100214,0.0575531946410732,Pilibhit,2
Uttar Pradesh,UP_Pratapgarh,0.013478801205623102,0.002500399123779224,0.013380080650851285,0.0060208087431693974,1e-05,0.009008511760899122,0.01871820164264625,0.14099629510074502,0.12546064059882067,0.2229323991155534,0.33056446513415444,0.04385556106630758,0.04385556106630758,0.08975640132258299,Pratapgarh,0
Uttar Pradesh,UP_Raebareli,0.012955537755521194,0.002096198218872648,0.012823785434000359,0.009299431693989071,1e-05,0.010976298939823288,0.016189524922708178,0.15125113688435582,0.13457198677364884,0.2391293905883824,0.3546012089106675,0.047215737808977434,0.047215737808977434,0.09346165120340202,Raebareli,0
Uttar Pradesh,UP_Rampur,0.013973285165969405,0.001783268486041751,0.01408562580393051,0.004563642987249544,1e-05,0.007985554761975799,0.02163090770396176,0.10365812809825543,0.0922859732297993,0.16395869817392406,0.2430460058286335,0.031621063155652086,0.031621063155652086,0.07001159234615603,Rampur,2
Uttar Pradesh,UP_Saharanpur,0.024671406403302905,0.0062685946566179455,0.024028385191939252,0.011940544626593807,1e-05,0.017163625175337247,0.02058735996633777,0.1539333615407157,0.13695512226012824,0.2433658255138538,0.3608881851679713,0.04809461523089148,0.04809461523089148,0.09821797586177317,Saharanpur,0
Uttar Pradesh,UP_Sambhal,0.008214770897597909,0.0028785225509498913,0.00790396480887485,0.0039261329690346075,1e-05,0.005679109336341851,0.01981378384609371,0.09838587135060384,0.08760161462494981,0.15563144170461848,0.2306881472442301,0.029893516804507383,0.029893516804507383,0.06604085716714123,Sambhal,2
Uttar Pradesh,UP_Sant Kabir Nagar,0.008374366249878994,0.0014312225366069915,0.008367996428784647,0.004017205828779599,1e-05,0.00580013387012309,0.026065419509081776,0.07599599390564435,0.06770838482017236,0.12026778990910494,0.1782075962334739,0.02255708519012404,0.02255708519012404,0.05468611273767554,Sant Kabir Nagar,2
Uttar Pradesh,UP_Shahjahanpur,0.01768060670994142,0.0012226027147197267,0.017882001454537562,0.010119087431693987,1e-05,0.01337578428142786,0.014384478896301222,0.13336364146252222,0.11867908794322005,0.2108770180085596,0.312673975577305,0.04135458974162075,0.04135458974162075,0.08234536735992824,Shahjahanpur,0
Uttar Pradesh,UP_Shamli,0.009151412473280326,0.001965810830193108,0.00910339156910953,0.002651112932604736,1e-05,0.004925589097713467,0.02629410375231706,0.056422443442368526,0.0503174393619598,0.0893523807164107,0.1323283494142461,0.016143471950055492,0.016143471950055492,0.041986693238940616,Shamli,2
Uttar Pradesh,UP_Shravasti,0.003301327101140999,0.0007923243320772433,0.003309780408247445,0.0016493114754098364,1e-05,0.002333434522756818,0.012540525393025234,0.049287540580571665,0.04397813435176455,0.0780831711810008,0.11560455829409345,0.0138055972989093,0.0138055972989093,0.03344075463484699,Shravasti,4
