state,District_Key,confirmed,active,recovered,deceased,migrated_other,covid_index,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,cold_chain_points_access,dist_index,district
Assam,AS_Jorhat,0.02294817756777051,0.09131211453457291,0.004754383965351613,0.004735883424408015,0.0,0.010424964928649697,0.008376437855137642,0.030400860949369394,0.9276396819351751,0.06646435701031923,0.10558564313568838,0.05927711180469595,0.940722888195304,0.940722888195304,0.09888350603384054,Jorhat
Assam,AS_Kamrup,0.01200913636256603,0.03285827911282646,0.005628191977248427,0.0029143897996357013,0.0,0.005916021003807933,0.009543317740328829,0.042407903204506,0.899345078165334,0.0925342040971497,0.14709130762041095,0.08337578794613024,0.9166242120538698,0.9166242120538698,0.12094809093800135,Kamrup
Assam,AS_Kamrup Metropolitan,0.13042863982794753,0.4481634568995867,0.04170940727594423,0.013296903460837887,0.0,0.04164489203156389,0.04407198649985953,0.03516875397380365,0.9164041385701432,0.07681646866547662,0.12206718488145496,0.0688464884614401,0.9311535115385599,0.9311535115385599,0.13584756446678503,Kamrup Metropolitan
Assam,AS_Karbi Anglong,0.0016535455732334925,0.001369094963034436,0.0014979565918231109,0.0010018214936247723,0.0,0.0012870732286678205,0.0020100153313066032,0.0268482839084167,0.9360113323049893,0.05875095530373316,0.09330517742359085,0.05214692922032226,0.9478530707796777,0.9478530707796777,0.07526836670522123,Karbi Anglong
Assam,AS_Karimganj,0.003139643493481315,0.0033249449102264877,0.0025915734514330995,0.0023679417122040073,0.0,0.002726626631877624,0.014736477371225342,0.03394475494680652,0.9192884931636934,0.07415890597932936,0.11783609350485585,0.06638986712853726,0.9336101328714628,0.9336101328714628,0.11392477250558082,Karimganj
Assam,AS_Kokrajhar,0.001067478787783647,0.0010300809721878138,0.0009579323857129676,0.001092896174863388,0.0,0.0010801127181533205,0.006198477669427099,0.024641409462177622,0.9412118335357907,0.05395936066029179,0.08567650515117325,0.04771763252637823,0.9522823674736218,0.9522823674736218,0.08427832126912173,Kokrajhar
Assam,AS_Lakhimpur,0.007864806951170695,0.02455243633708422,0.0030800375574623748,0.002185792349726776,0.0,0.004146183168402823,0.010004937779952195,0.028972923166555475,0.9310046183545018,0.06336399983188577,0.10064958100988235,0.05641117617734117,0.9435888238226589,0.9435888238226589,0.09875653937384801,Lakhimpur
Assam,AS_Majuli,0.0004317009803536808,0.0014994849595139062,0.00021709515823523345,0.000546448087431694,0.0,0.00048569761689414964,0.004150817360542618,0.004351984127983673,0.9890238790296092,0.009906695174266698,0.01554049141734779,0.006995839445706711,0.9930041605542933,0.9930041605542933,0.029426905426924464,Majuli
Assam,AS_Morigaon,0.0016692437907008992,0.0014082119619782771,0.0015115250392128128,0.000819672131147541,0.0,0.001169714758104986,0.0123100398902357,0.026638904154552823,0.9365047358466043,0.05829634724536856,0.0925813983588466,0.05172669459703023,0.9482733054029697,0.9482733054029697,0.09708609157333331,Morigaon
Assam,AS_Nagaon,0.011812908644223448,0.026338779288852962,0.006800505831718688,0.002276867030965392,0.0,0.005186176070269737,0.016160374033057222,0.07930531257249435,0.8123963062682227,0.17264634159813502,0.2746374144002076,0.15743055513383505,0.8425694448661649,0.8425694448661649,0.18173879109658858,Nagaon
