First principal component,Second principal component,Category,district
0.0024205338170717253,-0.27775505103536435,medium,Latehar
0.0023489220326877863,-0.2777053030357902,medium,Lohardaga
0.002224851394534509,-0.2776191123884393,low,Pakur
0.0023017150221346892,-0.2776725087916432,low,Palamu
0.0020378941819640013,-0.27748923505873224,medium,Ramgarh
0.00231209777577418,-0.27767972158808557,high,Ranchi
0.002079824801158918,-0.2775183638458977,low,Sahibganj
0.002295649819437331,-0.2776682953552123,medium,Seraikela Kharsawan
0.0024467504717447415,-0.2777732634865234,medium,Simdega
0.0024145933134382194,-0.27775092422614195,medium,West Singhbhum
-0.13011410582731486,0.33499958101095967,medium,Bagalkot
-0.11062727364505812,0.2941467272689473,high,Ballari
-0.11615898666061403,0.30568865496100733,medium,Belgaum
-0.09093032846307203,0.2527358455251829,high,Bangalore Rural
-0.11608142903355845,0.3018286010237609,high,Bangalore Urban
-0.11968234925451983,0.3131136064859058,medium,Bidar
-0.12024019480350423,0.31437948445478964,medium,Bijapur
-0.11056168521649595,0.2941011636351928,medium,Chamarajanagara
-0.11653878503397996,0.30653806259030936,high,Chikkaballapura
-0.09199846462765585,0.25523456552024737,high,Chikmagalur
-0.1246217963823667,0.32357177702727263,high,Chitradurga
-0.11225488735347808,0.2974136439513675,high,Dakshina Kannada
-0.1106459424041896,0.29415969627159555,high,Davanagere
-0.11370188163340111,0.3004683356631914,high,Dharwad
-0.11335906523617309,0.2999374017721568,high,Gadag
-0.12088450666668074,0.3157054297184436,medium,Gulbarga
-0.06490092808679346,0.19834842022995258,high,Hassan
-0.11656056884745697,0.3065531955904559,medium,Haveri
-0.09804339581830687,0.2679246185482542,high,Kodagu
-0.11763988840762055,0.308766901855439,medium,Kolar
-0.12758215694612834,0.3297272684267365,high,Koppal
-0.10153723093911475,0.27503627490454735,high,Mandya
-0.09615172112249956,0.26368266356820924,high,Mysore
-0.12363252519086997,0.32142062647493697,medium,Raichur
-0.0854068740563183,0.2412864054440299,medium,Ramanagara
-0.10812036268439086,0.28897855871781564,high,Shimoga
-0.11776297445161203,0.30914519123952167,high,Tumakuru
-0.11863204651236109,0.31092005791790195,high,Udupi
-0.10222015801282444,0.27668182849827794,high,Uttara Kannada
-0.12463996806930447,0.3235844007187756,high,Yadgir
-0.5080210976841322,0.23718185761830457,high,Alappuzha
-0.5079487287955291,0.2374243663904792,high,Ernakulam
-0.5358316633351969,0.2966128162636025,high,Idukki
