First principal component,Second principal component,Category,district
-0.21332977175201245,-0.023385874086402914,medium,Arwal
0.007081591841761079,-0.13397496269953413,medium,Aurangabad
-0.05158893277229863,-0.10453764268239851,low,Banka
0.06103075505493346,-0.16104338918130892,medium,Begusarai
0.07050988030794253,-0.16579944079991796,medium,Bhagalpur
0.032516069742281634,-0.14673644506826283,low,Bhojpur
-0.09075456137518345,-0.08488669954801387,medium,Buxar
0.17883395714220132,-0.22014990956267233,low,Darbhanga
0.3201700656054806,-0.291063818756065,low,East Champaran
0.2345226461855925,-0.24809112487459764,low,Gaya
0.012778636333589947,-0.1368333949866325,medium,Gopalganj
-0.08485772951721593,-0.0878453730494373,low,Jamui
-0.1617901099180294,-0.049245358537277115,medium,Jehanabad
-0.10058480592370977,-0.07995447750764156,low,Kaimur
0.07488340959118338,-0.16799381322051543,medium,Katihar
-0.09684728468477627,-0.08182973956648741,low,Khagaria
-0.09278713302520447,-0.08386687805309771,medium,Kishanganj
-0.17682091335258732,-0.04170381065223041,medium,Lakhisarai
-0.055816121766631116,-0.10241669496601727,medium,Madhepura
0.246290864709862,-0.2539957050195567,low,Madhubani
-0.13319434088456802,-0.06359298555631991,medium,Munger
0.28312746691772417,-0.27247808360181514,medium,Muzaffarpur
0.05106646669768168,-0.15604391206660884,medium,Nalanda
-0.02878395367364421,-0.11597980162212454,low,Nawada
0.4041679304709434,-0.3332088659508227,medium,Patna
0.09983893350121678,-0.1805149854508194,medium,Purnia
0.06203224857952608,-0.16154587804726767,medium,Rohtas
-0.06768843425680478,-0.0964598867660625,medium,Saharsa
0.21935280730183856,-0.24047981741200108,low,Samastipur
0.18140611295232367,-0.22144046174734394,low,Saran
-0.22135486866023557,-0.019359365930733903,medium,Sheikhpura
-0.2186777666529093,-0.02070257376851237,medium,Sheohar
0.11767430839608521,-0.18946369763397267,low,Sitamarhi
0.10532352890473859,-0.18326682363737096,low,Siwan
-0.027354153047238268,-0.11669718908162112,medium,Supaul
0.12685393522087918,-0.19406947905926075,low,Vaishali
0.18042531647358345,-0.22094835740694002,low,West Champaran
-0.025643226763348265,0.0964683395294885,high,Chandigarh
-0.16168859077007885,0.010362618100822877,high,Balod
-0.08224738196460446,0.005106160779405553,medium,Baloda Bazar
-0.19937350362829104,0.012856149343349409,medium,Balrampur
-0.08275966202589469,0.005140057271154268,medium,Bastar
-0.2659898059673294,0.01726400963929771,high,Bemetara
-0.2605525085012664,0.016904235128008534,high,Bijapur
0.026604504883893567,-0.00209633910923478,high,Bilaspur
-0.21018559707721113,0.013571562774539653,high,Dantewada
-0.1661591875767946,0.010658428067326628,high,Dhamtari
0.25558158987139845,-0.017247270130017898,medium,Durg
-0.19957277891426867,0.012869334968942284,medium,Gariaband
-0.2428816647560237,0.01573499264823017,medium,Gaurella-Pendra-Marwahi
-0.02997674499239534,0.0016475229195447654,high,Janjgir-Champa
-0.15739836959659415,0.010078743209730978,medium,Jashpur
-0.20172568146310832,0.013011787992194448,high,Kabirdham
-0.20277693320053264,0.013081347103579177,medium,Kondagaon
-0.09862376528313069,0.006189751541522353,high,Korba
-0.18939581326949184,0.012195946605677428,medium,Koriya
-0.12751835017702925,0.00810164531301266,medium,Mahasamund
-0.18232203797656943,0.01172788980634559,medium,Mungeli
-0.27541128286152383,0.017887408904536987,high,Narayanpur
-0.05103245022998816,0.0030407345488487466,high,Raigarh
0.37479546001787706,-0.02513540061001092,high,Raipur
-0.04375558656325336,0.002559239819940136,high,Rajnandgaon
-0.2573747142569911,0.016693967181782027,high,Sukma
-0.1891900723128378,0.012182333160285788,medium,Surajpur
-0.22891565030840305,0.014810890913147363,high,Surguja
-0.16609952290800797,-0.09815576539088036,medium,Daman
-0.2625483346565921,-0.01260274805606831,medium,Diu
-0.06033373056671121,-0.19197322671111197,medium,Dadra and Nagar Haveli
-0.11253562761291289,0.027828981476053984,medium,North Goa
-0.15300213722328992,0.026001867338487084,medium,South Goa
1.141800586823741,0.18211712095496219,medium,Ahmedabad
0.0038186685343470205,0.05358824912153901,medium,Amreli
0.11905635727319441,0.06660371965604411,low,Anand
-0.08847907402964031,0.04316372081062061,low,Aravalli
0.32404168444918124,0.08975569810218564,low,Banaskantha
0.011254157473439571,0.05442804717940974,medium,Bharuch
0.27646398748683615,0.08438205585293525,medium,Bhavnagar
-0.16756227732585233,0.03423170287846003,low,Botad
-0.08446537280028976,0.04361704654681534,low,Chhota Udepur
0.12630679829899955,0.06742261755799175,low,Dahod
-0.25333897938617184,0.024543690645386144,low,Dang
-0.14828232308604591,0.03640926890795131,low,Devbhoomi Dwarka
-0.021387814824645513,0.0507413138434379,medium,Gandhinagar
-0.05536009377365336,0.046904329602519605,low,Gir Somnath
0.132815848657098,0.06815777941407018,medium,Jamnagar
0.24935226999686902,0.08131993473620439,low,Junagadh
0.1607536871767955,0.07131320641048393,low,Kheda
0.11906375119629549,0.06660455475946653,low,Kutch
