state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,temp,covid_index,dist_index
Uttar Pradesh,UP_Ballia,0.01993673618360635,220,7300,0.009107468123861567,0,1202.512547467293,79.82540132246763,108.2576351008,27.6021122608,4051.636816110405,0.23493033847184125,0.23493033847184125,0.45681840999383283,0.01347490962069996,0.30519872244003265
Uttar Pradesh,UP_Balrampur,0.005332161199762433,93,1912,0.003005464480874317,0,713.5746169005673,53.21622435694479,72.1707940384,18.4011627184,2701.055181019209,0.15661813649850884,0.15661813649850884,0.5636484660306633,0.004003201355438192,0.2407002608818921
Uttar Pradesh,UP_Banda,0.009429395958755549,119,3448,0.00336976320582878,0,453.4533405846363,44.561115198658754,60.432905678400004,15.4083898584,2261.754427973123,0.13114569676904433,0.13114569676904433,0.3573678760090489,0.005636916848331634,0.20976246096482293
Uttar Pradesh,UP_Barabanki,0.019855628726691416,92,7400,0.00883424408014572,0,947.1574107189543,80.67576997593933,109.41088829919998,27.8961536392,4094.798327190744,0.23743301797330615,0.23743301797330615,0.44492391561844985,0.013244224044327586,0.2961925957952224
Uttar Pradesh,UP_Bareilly,0.03592537067415995,353,13220,0.014389799635701275,0,1205.2093514563107,110.57303411572157,149.9569683456,38.2340614656,5612.2708870891065,0.3254222327768423,0.3254222327768423,0.4005470052408236,0.022736729884472395,0.3463416384360915
Uttar Pradesh,UP_Basti,0.012998124063012644,63,4808,0.00883424408014572,0,1018.4943327130627,60.94187347015173,82.64816701439999,21.0725458944,3093.180041738322,0.1793551266170858,0.1793551266170858,0.6796553131297133,0.010715810774582998,0.2675809328845707
Uttar Pradesh,UP_Bhadohi,0.005680138353623279,90,2061,0.0018214936247723133,0,1800.285141666667,38.48593553861848,52.193866827200004,13.3077077672,1953.4011824232468,0.1132661247259935,0.1132661247259935,0.32067768624164034,0.0032165720571673048,0.2404802757681632
Uttar Pradesh,UP_Bijnor,0.010967821270561394,132,4002,0.005282331511839709,0,898.1566217934662,91.22243618560414,123.71406903040001,31.542991110400003,4630.1073941591085,0.2684724092114019,0.2684724092114019,0.4816208599257499,0.007611548325650458,0.3084361759669473
Uttar Pradesh,UP_Budaun,0.009863713308687131,100,3625,0.004098360655737705,0,798.8708699690402,91.93663590906677,124.68265261119998,31.789947851199997,4666.357483049331,0.2705743364174021,0.2705743364174021,0.41549876070791847,0.0063580700329423645,0.3042322580367365
Uttar Pradesh,UP_Bulandshahr,0.0155203043361093,268,5575,0.008105646630236794,0,1046.071466523259,86.63174301130903,117.4882614768,29.9556163368,4397.101093303774,0.2549617586742281,0.2549617586742281,0.522260804601513,0.01121615364294881,0.3089501537672488
Uttar Pradesh,UP_Chandauli,0.011954192601430106,146,4368,0.005009107468123861,0,850.2023711824588,48.35403524727614,65.57678905120001,16.719909791200006,2454.268768708621,0.14230845919874618,0.14230845919874618,0.4190251600534369,0.0077382062156041405,0.2373323056864407
Uttar Pradesh,UP_Chitrakoot,0.0054917597440144,40,2046,0.0011839708561020036,0,344.02751780137413,24.530365968203288,33.2675985824,8.482136062399999,1245.069015913115,0.07219415229079598,0.07219415229079598,0.21559043208189174,0.0025499183292072808,0.15720397480226528
Uttar Pradesh,UP_Deoria,0.017422405019243397,118,6451,0.00819672131147541,0,1359.244317159763,76.72996631686989,104.05966718879999,26.531769448800002,3894.5241900192073,0.22582031106784525,0.22582031106784525,0.4704701390205294,0.011950171484894622,0.3057736734428119
Uttar Pradesh,UP_Etah,0.006462432857415707,99,2345,0.0023679417122040073,0,797.3945537459282,43.610507987508065,59.1437109248,15.0796878848,2213.505185118717,0.12834800994042148,0.12834800994042148,0.3664164509634743,0.003911862002345223,0.22539737519157585
Uttar Pradesh,UP_Etawah,0.014738009832316873,169,5362,0.009289617486338797,0,767.8294359422824,39.10393299019803,53.03198278399999,13.521399584000001,1984.7684062091591,0.11508492360541052,0.11508492360541052,0.6303169554120478,0.011700874918232566,0.21430528999232895
Uttar Pradesh,UP_Faizabad,0.02019575677181856,154,7455,0.010018214936247723,0,992.7047204339964,61.12301108117487,82.89382227040002,21.1351798504,3102.3739048626544,0.17988822409686847,0.17988822409686847,0.4960554362700228,0.014224114458913032,0.2669209909483439
Uttar Pradesh,UP_Farrukhabad,0.011862619666203568,109,4345,0.007285974499089253,0,921.0116823168056,46.74110572825997,63.3893658448,16.162189304800002,2372.402539253189,0.137561523116296,0.137561523116296,0.6141960801328639,0.009296813668152862,0.2367461360726163
Uttar Pradesh,UP_Fatehpur,0.009672718329500351,135,3497,0.005919854280510018,0,705.0926319845858,65.19181002581531,88.4118471616,22.5420934816,3308.8908196334473,0.19186291257199184,0.19186291257199184,0.6120155760615239,0.007567105325490082,0.26085737838353884
Uttar Pradesh,UP_Firozabad,0.009850631460797626,70,3627,0.006193078324225865,0,1175.9416484540448,61.826018159363095,83.84722660639999,21.3782663864,3138.0558972207923,0.18195721076139745,0.18195721076139745,0.628698611746094,0.007810616632494719,0.27472955292142337
