District,Active,Cluster,Cold Chain Points,Density,Elderlies,Full Immunes,Hh More Than 4,Index,Storage Cap Lits,Urbans
Mehsana,0.007901634,9,0.831155612,0.012145260,0.146013544,0.854535312,0.199509430,0.151970909,0.831155612,0.172388663
Morbi,0.005847991,0,0.921336011,0.005166119,0.068976008,0.931181017,0.094085414,0.102954386,0.921336011,0.081451132
Narmada,0.003364062,6,0.952591680,0.005629588,0.042275531,0.957745690,0.057546452,0.081773484,0.952591680,0.049933048
Navsari,0.001075717,3,0.890043844,0.015817976,0.095707665,0.904585324,0.130667043,0.107038984,0.890043844,0.113006020
Panchmahal,0.004244194,9,0.800694957,0.012021347,0.172034871,0.828646335,0.235118991,0.147387140,0.800694957,0.203105057
Patan,0.003716115,3,0.889027052,0.006136195,0.096576269,0.903721138,0.131855707,0.111360400,0.889027052,0.114031348
Porbandar,0.000860574,6,0.952956407,0.006701194,0.041963959,0.958055677,0.057120073,0.070293469,0.952956407,0.049565259
Rajkot,0.029709361,9,0.735690516,0.007395615,0.227565585,0.773398063,0.311111439,0.190704026,0.735690516,0.268655259
Sabarkantha,0.004205077,9,0.797393321,0.008622221,0.174855328,0.825840224,0.238978719,0.141883477,0.797393321,0.206434413
Surat,0.022668301,1,0.488682778,0.036206131,0.438574488,0.563462399,0.599872055,0.249555066,0.488682778,0.517736810
Surendranagar,0.006669448,3,0.854123523,0.004383076,0.126392969,0.874056092,0.172659145,0.125285706,0.854123523,0.149227919
Tapi,0.001056159,0,0.934333368,0.006156627,0.057872882,0.942227670,0.078891052,0.079947501,0.934333368,0.068344652
Vadodara,0.042872231,2,0.694959804,0.012268411,0.262360215,0.738780406,0.358727055,0.219915178,0.694959804,0.309727936
Valsad,0.000958366,3,0.858584816,0.014751184,0.122581863,0.877847814,0.167443738,0.113311612,0.858584816,0.144729169
Ambala,0.006239161,0,0.934376147,0.019046599,0.090019721,0.911360567,0.115134387,0.129140286,0.934376147,0.078935774
Bhiwani,0.001955850,3,0.904885425,0.008319113,0.129150639,0.872912100,0.165328197,0.113800900,0.904885425,0.113279639
Charkhi Dadri,0.002268786,6,0.972383762,0.009626622,0.039587829,0.960912916,0.050444653,0.078027926,0.972383762,0.034673432
Faridabad,0.014727550,3,0.894711553,0.060447493,0.142650240,0.859647936,0.182644334,0.193889144,0.894711553,0.125127775
Fatehabad,0.003031567,0,0.946072521,0.009740988,0.074499929,0.926609690,0.095226920,0.101593919,0.946072521,0.065314585
Gurgaon,0.031723886,3,0.911775469,0.031654827,0.120008315,0.881894980,0.153601202,0.185934012,0.911775469,0.105255734
Hissar,0.004283311,3,0.898074331,0.012086577,0.138188207,0.864032150,0.176920818,0.134471096,0.898074331,0.121211601
Jhajjar,0.002875099,0,0.945150945,0.013459803,0.075722758,0.925408188,0.096795461,0.105687746,0.945150945,0.066387820
Jind,0.005632848,3,0.922680013,0.012952378,0.105539194,0.896111756,0.135041446,0.128300640,0.922680013,0.092556683
Kaithal,0.002327461,0,0.938205194,0.010065552,0.084939000,0.916352679,0.108617272,0.103317891,0.938205194,0.074476599
Karnal,0.005613289,3,0.912240420,0.016021725,0.119391377,0.882501159,0.152809846,0.137285239,0.912240420,0.104714269
Kurukshetra,0.005065651,0,0.944712231,0.016564330,0.076304883,0.924836215,0.097542162,0.116735906,0.944712231,0.066898731
Mahendragarh,0.002405695,0,0.947261075,0.012744741,0.072922849,0.928159265,0.093203977,0.101307689,0.947261075,0.063930436
Nuh,0.000958366,0,0.937214133,0.016222457,0.086254028,0.915060585,0.110304077,0.098680341,0.937214133,0.075630754
Palwal,0.001642914,0,0.940144067,0.020010512,0.082366331,0.918880481,0.105317270,0.106641795,0.940144067,0.072218656
Panchkula,0.007099735,6,0.968992531,0.018003974,0.044087617,0.956491605,0.056216597,0.101185808,0.968992531,0.038622741
Panipat,0.007021501,0,0.930421069,0.025303399,0.095267671,0.906204142,0.121866011,0.138473187,0.930421069,0.083541720
Rewari,0.005711082,0,0.948791604,0.015106043,0.070892008,0.930154689,0.090598986,0.114153504,0.948791604,0.062148036
Rohtak,0.007666932,0,0.939054469,0.016682393,0.083812106,0.917459920,0.107171788,0.127147028,0.939054469,0.073487563
Sirsa,0.003129360,0,0.924892034,0.007948858,0.102604087,0.898995675,0.131276541,0.111083639,0.924892034,0.089980641
Sonipat,0.008566623,3,0.913812400,0.017214072,0.117305534,0.884550625,0.150134304,0.145180847,0.913812400,0.102883596
Bilaspur,0.007041060,6,0.950853031,0.008593781,0.035268126,0.958987577,0.034681194,0.068207660,0.950853031,0.007300064
Chamba,0.005163444,6,0.932372342,0.002068987,0.048014805,0.944254254,0.047371571,0.061336916,0.932372342,0.010044254
Hamirpur,0.005319912,6,0.941093480,0.010672037,0.041999578,0.951206989,0.041382913,0.072063637,0.941093480,0.008749256
Kangra,0.019832318,3,0.798837784,0.006889438,0.140117553,0.837796768,0.139067491,0.119832826,0.798837784,0.029872742
Kinnaur,0.003148918,6,0.991081510,0.000323705,0.007521351,0.991058845,0.007056980,0.022674289,0.991081510,0.001326555
Kullu,0.006806358,6,0.943365804,0.002069450,0.040432288,0.953018550,0.039822547,0.059720364,0.943365804,0.008411839
Lahaul and Spiti,0.001682031,6,0.998210980,3.706439693e-05,0.002603943,0.996742658,0.002161293,0.009914428,0.998210980,0.000267903
Mandi,0.031391392,0,0.867431069,0.006637145,0.092806728,0.892481254,0.091965643,0.111277323,0.867431069,0.019687355
Shimla,0.017896027,0,0.892578631,0.004149411,0.075461709,0.912529594,0.074697239,0.091362982,0.892578631,0.015953205
Sirmaur,0.005006976,6,0.930842958,0.004916510,0.049069667,0.943034986,0.048421773,0.068607928,0.930842958,0.010271351
Solan,0.016663842,6,0.924559783,0.007816914,0.053403359,0.938025863,0.052736323,0.087045232,0.924559783,0.011204337
Una,0.005183002,6,0.932073356,0.008882397,0.048221025,0.944015894,0.047576880,0.073736423,0.932073356,0.010088650
Anantnag,0.003676998,0,0.873151462,0.009849538,0.072013372,0.912919035,0.111494662,0.102074137,0.873151462,0.058228804
Badgam,0.005104768,0,0.913560175,0.013750173,0.049406774,0.940172758,0.076416970,0.097699326,0.913560175,0.039919953
Bandipora,0.002640397,6,0.955934153,0.003344452,0.025700712,0.968751958,0.039633286,0.059866512,0.955934153,0.020720657
Baramulla,0.004146402,0,0.879754428,0.008005911,0.068319352,0.917372416,0.105762808,0.099238969,0.879754428,0.055237055
Doda,0.002679514,6,0.952976286,0.004083755,0.027355487,0.966757019,0.042200928,0.062888789,0.952976286,0.022060842
Ganderbal,0.003109801,6,0.966579912,0.003927108,0.019744957,0.975932007,0.030391995,0.056660372,0.966579912,0.015897153
Jammu,0.016526932,3,0.818015528,0.012949280,0.102859093,0.875732512,0.159356649,0.142606851,0.818015528,0.083210437
Kathua,0.002620839,6,0.928066375,0.006090048,0.041291301,0.949956489,0.063824537,0.076291956,0.928066375,0.033347315
Kishtwar,0.002347020,6,0.974592629,0.000761873,0.015262254,0.981336198,0.023436376,0.040552003,0.974592629,0.012266657
Kulgam,0.001916733,6,0.951379954,0.024326526,0.028248552,0.965680371,0.043586660,0.076255410,0.951379954,0.022784127
Kupwara,0.003970375,0,0.896665036,0.009663834,0.058858736,0.928777803,0.091083175,0.096155173,0.896665036,0.047575000
Poonch,0.001212627,6,0.944850339,0.007474018,0.031901536,0.961276461,0.049254839,0.064896483,0.944850339,0.025742641
Pulwama,0.004518013,6,0.933582966,0.010709513,0.038205053,0.953677162,0.059035737,0.085282623,0.933582966,0.030847794
Rajouri,0.005300353,6,0.927636779,0.006174436,0.041531638,0.949666747,0.064197457,0.083625615,0.927636779,0.033541961
Ramban,0.001936291,6,0.968234249,0.005583684,0.018819441,0.977047777,0.028955911,0.054834887,0.968234249,0.015147586
Reasi,0.003246711,6,0.964439667,0.004821090,0.020942314,0.974488515,0.032249883,0.059712177,0.964439667,0.016866880
Samba,0.004733157,6,0.963968743,0.009161988,0.021205772,0.974170900,0.032658679,0.068132776,0.963968743,0.017080252
Shopian,0.002268786,6,0.970331232,0.022413132,0.017646287,0.978462091,0.027135577,0.064995815,0.970331232,0.014197461
Srinagar,0.017954703,3,0.849030412,0.014976972,0.085507859,0.896650553,0.132433481,0.138592477,0.849030412,0.069157851
Udhampur,0.003892141,6,0.935359716,0.003189602,0.037211052,0.954875494,0.057493388,0.071282409,0.935359716,0.030042763
Bokaro,0.002699073,3,0.964169164,0.018945810,0.133411321,0.854241625,0.213813902,0.135622080,0.964169164,0.098809703
Chatra,0.001095276,0,0.983109121,0.007391507,0.067274541,0.926387321,0.107705748,0.084559381,0.983109121,0.049768224
Deoghar,0.000977925,0,0.974757989,0.015816593,0.096436011,0.894576360,0.154491662,0.104280440,0.974757989,0.071391920
Dhanbad,0.001818940,7,0.952638463,0.034004775,0.173675586,0.810319113,0.278412859,0.151869459,0.952638463,0.128666299
Dumka,0.000919249,0,0.977930388,0.007872440,0.085358252,0.906660598,0.136718791,0.090814462,0.977930388,0.063177585
East Singhbhum,0.005124327,3,0.959913231,0.017044672,0.148272692,0.838030010,0.237657106,0.150343643,0.959913231,0.109829647
Garhwa,0.001329978,0,0.977906407,0.008541338,0.085441993,0.906569250,0.136853141,0.096113682,0.977906407,0.063239679
Giridih,0.000821457,3,0.957049410,0.013146218,0.158272921,0.827121202,0.253701217,0.118360248,0.957049410,0.117244976
Godda,0.000958366,0,0.978110831,0.016335129,0.084728158,0.907347940,0.135707884,0.099746356,0.978110831,0.062710360
Gumla,0.001232185,0,0.983418368,0.005044700,0.066194677,0.927565298,0.105973241,0.081335934,0.983418368,0.048967487
Jamtara,0.000977925,6,0.987791977,0.011518809,0.050922389,0.944225163,0.081470773,0.079655191,0.987791977,0.037642842
Khunti,0.001290861,6,0.992619928,0.005634737,0.034063580,0.962615695,0.054422931,0.065073626,0.992619928,0.025141765
Koderma,0.001114834,6,0.989148703,0.014364152,0.046184814,0.949393175,0.073869929,0.080319338,0.989148703,0.034129854
Latehar,0.000997483,6,0.988990736,0.005238699,0.046736422,0.948791450,0.074754914,0.070131152,0.988990736,0.034538880
Lohardaga,0.001408212,6,0.993893491,0.008111562,0.029616403,0.967466924,0.047287995,0.065382759,0.993893491,0.021844113
Pakur,0.000723664,0,0.985767365,0.013088927,0.057992168,0.936513053,0.092813346,0.081723865,0.985767365,0.042885196
Palamu,0.001584238,3,0.966502243,0.010005374,0.125264401,0.863128740,0.200743193,0.114630611,0.966502243,0.092768631
Ramgarh,0.001799382,0,0.984839346,0.020589124,0.061232735,0.932978061,0.098012428,0.098844288,0.984839346,0.045288128
Ranchi,0.016233555,7,0.948377960,0.009588847,0.188552914,0.794090092,0.302281663,0.175138257,0.948377960,0.139698075
Sahibganj,0.001290861,0,0.981107895,0.018906986,0.074262656,0.918764295,0.118917300,0.100580862,0.981107895,0.054950023
Seraikela Kharsawan,0.001799382,0,0.982716172,0.010248693,0.068646686,0.924890509,0.109907181,0.094409495,0.982716172,0.050785691
Simdega,0.000782340,6,0.991328663,0.004186960,0.038572572,0.957697034,0.061657043,0.061656647,0.991328663,0.028485255
West Singhbhum,0.001193068,0,0.974577062,0.005477015,0.097067791,0.893887178,0.155505275,0.093848920,0.974577062,0.071860395
Bagalkot,0.001662472,9,0.804794556,0.007536920,0.132678099,0.810106045,0.162332233,0.109491972,0.804794556,0.145879383
Ballari,0.005163444,9,0.737723115,0.007875192,0.177809091,0.745628055,0.217670656,0.137104360,0.737723115,0.195499946
Belgaum,0.004987417,2,0.502909668,0.009352273,0.335810227,0.519894135,0.411407452,0.153786145,0.502909668,0.369218827
